Appointed by,Date appointed,Division,End of Term,Name,Party,Region
Diefenbaker,1962-09-24,Carleton,1976-04-07,Grattan O'Leary,Progressive Conservative,ON
King,1922-03-11,Lambton,1927-02-04,Frederick Forsyth Pardee,Liberal,ON
King,1940-02-09,Milton,1981-06-18,Norman McLeod Paterson,Liberal,ON
Chr̩tien,1994-09-15,Ontario,2005-11-16,Landon Pearson,Liberal,ON
Macdonald,1871-02-02,Ontario,1876-05-01,Ebenezer Perry,Conservative,ON
Trudeau,1982-12-22,Ottawa-Vanier,2010-06-01,Michael Pitfield,Independent,ON
Macdonald,1883-02-08,Ontario,1888-03-12,Josiah Burr Plumb,Conservative,ON
Chr̩tien,1998-09-17,Toronto,2012-09-17,Vivienne Poy,Liberal,ON
Borden,1917-01-08,Cobourg,1920-05-02,Clive Pringle,Conservative,ON
Borden,1919-11-06,Huron,1922-12-03,William Proudfoot,Liberal,ON
King,1925-09-09,Perth North,1934-06-15,James Palmer Rankin,Liberal,ON
Laurier,1909-01-18,Parkhill,1924-03-01,Valentine Ratz,Liberal,ON
Macdonald,1871-02-24,Quint̩,1896-06-29,Robert Read,Conservative,ON
Royal Proclamation,1867-10-23,King's,1901-01-01,David Reesor,Liberal,ON
Meighen,1921-09-22,Grenville,1929-08-26,John Dowsley Reid,Conservative,ON
Borden,1917-01-20,Kingston,1918-10-27,Henry Westman Richardson,Conservative,ON
Borden,1917-01-20,Welland,1933-08-05,Gideon Robertson,Conservative,ON
Diefenbaker,1962-11-29,Kenora-Rainy River,1965-02-19,John Alexander Robertson,Progressive Conservative,ON
King,1945-04-18,Toronto-Trinity,1971-11-17,Arthur Roebuck,Liberal,ON
Laurier,1907-01-15,Middlesex,1914-03-07,George William Ross,Liberal,ON
Royal Proclamation,1867-10-23,Ontario,1871-01-31,John Ross,Conservative,ON
Macdonald,1887-02-08,Hamilton,1899-07-10,William Eli Sanford,Conservative,ON
Mackenzie,1874-03-13,Ottawa,1913-04-23,Richard William Scott,Liberal,ON
Royal Proclamation,1867-10-23,Newcastle,1880-03-23,Benjamin Seymour,Conservative,ON
Royal Proclamation,1867-10-23,Ontario,1878-02-06,James Shaw,Conservative,ON
Royal Proclamation,1867-10-23,Bowmanville,1885-03-23,John Simpson,Liberal,ON
Trudeau,1983-12-23,Halton,1988-09-27,Ian David Sinclair,Liberal,ON
Royal ProclamationMacdonald,1867-10-23,Rideau,1881-01-20,James Skead,Conservative,ON
Borden,1913-05-26,Wentworth,1946-01-10,Ernest D'Israeli Smith,Conservative,ON
Macdonald,1871-02-02,Toronto,1900-01-01,Frank Smith,Conservative,ON
King,1928-01-10,North Bruce,1939-02-21,James Houston Spence,Liberal,ON
Borden,1915-12-03,Grey,1917-11-10,Thomas Simpson Sproule,Conservative,ON
